site_id,run_id,ts_iso,req_id,session_id,provider,caption,top1_id,top1_score,top2_id,top2_score,margin,gt_node_id,hit_top1,hit_top2,hit_hop1,low_conf,low_conf_rule,client_start_ms,server_recv_ms,server_resp_ms
SCENE_A_MS,FT-SCENE_A_MS-1755168927372,2025-08-14T10:59:19.902206,961c2204-3b74-4b58-a619-d84be7e889bc,T01,ft,trial,there is a man sitting at a desk in an office,Sense_A_4o_0,0.343322,Sense_A_FT_0,0.168178,0.175144,,,,,true,score<0.4,1755169158243,1755169158348,1755169159902
SCENE_A_MS,FT-SCENE_A_MS-1755168927372,2025-08-14T11:00:10.756632,86ac1930-41bc-47e8-ba01-b7a7b623e3f3,T01,ft,trial,there is a man sitting at a desk in an office,Sense_A_4o_0,0.343322,Sense_A_FT_0,0.168178,0.175144,,,,,true,score<0.4,1755169208532,1755169209245,1755169210756
SCENE_A_MS,FT-SCENE_A_MS-1755168927372,2025-08-14T11:00:47.272206,331c0086-bef1-4f70-bbd7-a67e26d2d71d,T01,ft,trial,there is a woman sitting at a desk with two monitors,Sense_A_4o_0,0.322894,Sense_A_FT_0,0.175313,0.147581,,,,,true,score<0.4,1755169245071,1755169245530,1755169247272
SCENE_A_MS,WARMUP,2025-08-14T11:11:53.490877,d6958229-c151-441d-8fbb-8adf0914100a,T01,ft,warmup,First photo - preset output,,,,,,,,,,,,1755169911755,1755169913490,1755169913490
SCENE_A_MS,FT-SCENE_A_MS-1755169913503,2025-08-14T11:12:38.557372,0cbdd0ff-2ccb-42cd-8ad1-ae47c0d07ebd,T01,ft,trial,there is a printer sitting on a table with a roll of paper,Sense_A_4o_0,0.407003,Sense_A_FT_0,0.291507,0.115495,,,,,false,,1755169948389,1755169948629,1755169958557
SCENE_A_MS,FT-SCENE_A_MS-1755169913503,2025-08-14T11:13:56.012460,19f22b2a-65b4-430f-a54f-d73bb4934aba,T01,ft,trial,there is a large printer sitting on a table with many supplies,Sense_A_4o_0,0.521641,Sense_A_FT_0,0.295479,0.226162,,,,,false,,1755170033319,1755170033771,1755170036012
SCENE_A_MS,FT-SCENE_A_MS-1755169913503,2025-08-14T11:14:53.032772,57597003-6a61-4f10-b953-924d3bb9487a,T01,ft,trial,there is a room with a lot of chairs and tables,Sense_A_4o_0,0.562526,Sense_A_FT_0,0.381162,0.181364,,,,,false,,1755170090116,1755170090594,1755170093031
SCENE_B_STUDIO,WARMUP,2025-08-14T11:54:35.448739,0e950cb5-e878-4918-989b-749f898316c9,T01,ft,warmup,First photo - preset output,,,,,,,,,,,,1755172475355,1755172475447,1755172475448
SCENE_A_MS,WARMUP,2025-08-14T11:54:48.885062,1927e18b-f97b-4839-9115-039ed3def4dc,T01,ft,warmup,First photo - preset output,,,,,,,,,,,,1755172488777,1755172488883,1755172488885
SCENE_A_MS,FT-SCENE_A_MS-1755172488916,2025-08-14T11:55:25.669645,28b2414e-febe-424b-bad6-650cc1d93b5a,T01,ft,trial,there is a black and red printer sitting on a table,Sense_A_4o_0,0.458022,poi_3d_printer_table,0.300000,0.158022,,,,,false,,1755172515866,1755172515959,1755172525669
SCENE_A_MS,FT-SCENE_A_MS-1755172488916,2025-08-14T11:56:25.649160,f881796b-7279-43f7-832b-658ca0321b2c,T01,ft,trial,there is a black and red machine with a red drawer,Sense_A_4o_0,0.496161,Sense_A_FT_0,0.431288,0.064873,,,,,false,,1755172582599,1755172582685,1755172585648
SCENE_A_MS,FT-SCENE_A_MS-1755172488916,2025-08-14T11:56:34.182981,a927446f-09b1-460f-9329-b05b3e78b1e3,T01,ft,trial,there are three machines that are sitting on a counter,Sense_A_4o_0,0.376938,Sense_A_FT_0,0.224561,0.152377,,,,,false,,1755172591717,1755172591801,1755172594182
SCENE_A_MS,WARMUP,2025-08-14T12:09:13.714724,0d76fd20-74d7-4090-970b-944bf9e461df,T01,ft,warmup,First photo - preset output,,,,,,,,,,,,1755173353589,1755173353714,1755173353714
SCENE_A_MS,WARMUP,2025-08-14T12:10:14.648466,83608ed8-5651-48d9-a4ff-f074b93bc121,T01,ft,warmup,First photo - preset output,,,,,,,,,,,,1755173414459,1755173414646,1755173414648
SCENE_A_MS,FT-SCENE_A_MS-1755173414691,2025-08-14T12:10:55.782849,19674f49-f481-4ad7-8445-1559e23581ee,T01,ft,trial,there is a black and red machine on a table with a red handle,Sense_A_4o_0,0.396824,Sense_A_FT_0,0.306508,0.090316,,,,,false,,1755173446127,1755173446281,1755173455782
SCENE_A_MS,FT-SCENE_A_MS-1755173414691,2025-08-14T12:11:17.596966,bb5181a7-d74c-4dc0-b3ae-34d6c4fde7a2,T01,ft,trial,there is a man standing in front of a machine that is on a counter,Sense_A_4o_0,0.247185,Sense_A_FT_0,0.214706,0.032479,,,,,true,score<0.3,1755173475703,1755173475871,1755173477596
SCENE_A_MS,WARMUP,2025-08-14T12:11:46.899595,cd2e8021-49f9-46b1-81e0-8c0d0ec0a620,T01,ft,warmup,First photo - preset output,,,,,,,,,,,,1755173506817,1755173506898,1755173506899
SCENE_A_MS,WARMUP,2025-08-14T12:22:08.425886,0d8e06c2-85b0-4638-a1ed-1d864d9d0c74,T01,ft,warmup,First photo - preset output,,,,,,,,,,,,1755174128348,1755174128425,1755174128425
SCENE_A_MS,WARMUP,2025-08-14T12:23:05.711368,a26c7b47-2bca-48a4-86d9-5d9dab8ce2d3,T01,ft,warmup,First photo - preset output,,,,,,,,,,,,1755174185547,1755174185710,1755174185711
SCENE_A_MS,WARMUP,2025-08-14T12:23:37.513636,a59026d0-0fe6-48e7-9569-46ccc2204474,T01,ft,warmup,First photo - preset output,,,,,,,,,,,,1755174217437,1755174217512,1755174217513
SCENE_A_MS,WARMUP,2025-08-14T12:38:42.327325,890e515a-dd38-4dd2-acca-0ae5855ff060,T01,ft,warmup,First photo - preset output,,,,,,,,,,,,1755175122265,1755175122326,1755175122327
SCENE_A_MS,FT-SCENE_A_MS-1755175122385,2025-08-14T12:39:17.620231,42c18041-0e4a-4a8f-9b73-087a2b51fd0d,T01,ft,trial,there is a microwave sitting on a table with a roll of toilet paper,Sense_A_4o_0,0.347062,Sense_A_FT_0,0.294828,0.052234,,,,,false,,1755175148027,1755175148095,1755175157620
SCENE_A_MS,FT-SCENE_A_MS-1755175122385,2025-08-14T12:39:45.643257,4041eeec-07c1-4d2d-8c75-57758bfbe045,T01,ft,trial,there are two machines that are sitting on a table,Sense_A_4o_0,0.416488,Sense_A_FT_0,0.294709,0.121779,,,,,false,,1755175183324,1755175183481,1755175185643
SCENE_A_MS,FT-SCENE_A_MS-1755175122385,2025-08-14T12:40:23.017960,1dcefe8a-dbca-4b60-89b3-a51355c6d0e4,T01,ft,trial,there is a kitchen with a coffee machine and a tv in it,Sense_A_4o_0,0.414294,Sense_A_FT_0,0.213163,0.201131,,,,,false,,1755175221199,1755175221259,1755175223017
SCENE_B_STUDIO,WARMUP,2025-08-14T12:49:22.143170,6d6b7227-cee1-4a3e-801b-ae5cc683c623,T01,ft,warmup,First photo - preset output,,,,,,,,,,,,1755175762123,1755175762142,1755175762143
SCENE_B_STUDIO,FT-SCENE_B_STUDIO-1755175762249,2025-08-14T12:49:50.100363,fb02d4e0-6024-4673-a93c-ffffcb717da1,T01,ft,trial,there is a woman sitting at a table in front of a large screen,Sense_B_FT_0,0.366703,Sense_B_4o_0,0.332981,0.033722,,,,,true,margin<0.05,1755175786142,1755175786244,1755175790099
SCENE_B_STUDIO,FT-SCENE_B_STUDIO-1755175762249,2025-08-14T12:50:36.001125,1b16dd3c-5e87-4d8e-b41b-24a082cb1ecb,T01,ft,trial,there is a laptop on a chair in a room with boxes,Sense_B_FT_0,0.523600,Sense_B_4o_0,0.481545,0.042055,,,,,true,margin<0.05,1755175833678,1755175833730,1755175836000
SCENE_A_MS,WARMUP,2025-08-14T12:54:39.289565,bb604927-21f5-497b-a6ce-32960c9c9a2e,T01,ft,warmup,First photo - preset output,,,,,,,,,,,,1755176079279,1755176079287,1755176079289
SCENE_A_MS,FT-SCENE_A_MS-1755176079401,2025-08-14T12:55:16.324429,83dc91a9-d966-4034-99a4-32051c9917d8,T01,ft,trial,"there is a table with a printer, a roll of toilet paper, a roll of toilet paper,",Sense_A_4o_0,0.472437,Sense_A_FT_0,0.311773,0.160663,,,,,false,,1755176112622,1755176112686,1755176116323
SCENE_A_MS,FT-SCENE_A_MS-1755176079401,2025-08-14T12:56:27.466909,0dc99482-7d00-43bd-8b63-e3f60acd0e4c,T01,ft,trial,there is a room with a lot of desks and chairs,Sense_A_4o_0,0.668417,Sense_A_FT_0,0.365363,0.303054,,,,,false,,1755176185162,1755176185187,1755176187466
SCENE_A_MS,FT-SCENE_A_MS-1755176079401,2025-08-14T12:56:51.653380,ef37b742-1169-4b4f-b9d2-2fddd1005101,T01,ft,trial,there is a man sitting at a desk in a large room,Sense_A_4o_0,0.394208,Sense_A_FT_0,0.185211,0.208996,,,,,false,,1755176209680,1755176209693,1755176211653
SCENE_A_MS,FT-SCENE_A_MS-1755176079401,2025-08-14T12:57:24.798640,c9cbd83f-2773-4a57-a24a-fe18f80d1b83,T01,ft,trial,there is a room with a lot of desks and chairs,Sense_A_4o_0,0.668417,Sense_A_FT_0,0.365363,0.303054,,,,,false,,1755176242912,1755176242925,1755176244798
SCENE_B_STUDIO,WARMUP,2025-08-14T13:17:17.319777,79802983-83ac-4be0-872c-679b22a550b4,T04,ft,warmup,First photo - preset output,,,,,,,,,,,,1755177437092,1755177437317,1755177437319
SCENE_B_STUDIO,FT-SCENE_B_STUDIO-1755177437443,2025-08-14T13:17:50.401000,97622483-0744-47d8-9b0b-6f9022debfcb,T04,ft,trial,there is a large flat screen tv sitting on a desk,Sense_B_4o_0,0.398376,Sense_B_FT_0,0.302785,0.095591,,,,,false,,1755177467802,1755177467817,1755177470400
SCENE_B_STUDIO,FT-SCENE_B_STUDIO-1755177437443,2025-08-14T13:18:44.385901,14b476e9-2d91-47b2-95e1-7af0cb63c19d,T04,ft,trial,"there is a room with a television, a couch, and a table",Sense_B_4o_0,0.530253,Sense_B_FT_0,0.492256,0.037997,,,,,true,margin<0.05,1755177521853,1755177521884,1755177524385
SCENE_B_STUDIO,FT-SCENE_B_STUDIO-1755177437443,2025-08-14T13:19:15.044649,5be9bb95-199a-411e-900a-ae115e35141e,T04,ft,trial,there is a view of a parking lot from a window,Sense_B_FT_0,0.357295,Sense_B_4o_0,0.249890,0.107405,,,,,false,,1755177553449,1755177553543,1755177555044
SCENE_B_STUDIO,FT-SCENE_B_STUDIO-1755177437443,2025-08-14T13:19:47.296767,f38436f4-e75e-4b29-ade7-17ba9a6eabbe,T04,ft,trial,there are two people sitting at a table in a room,Sense_B_4o_0,0.367974,Sense_B_FT_0,0.364443,0.003532,,,,,true,margin<0.05,1755177585818,1755177585827,1755177587296
