site_id,run_id,ts_iso,req_id,session_id,provider,caption,top1_id,top1_score,top2_id,top2_score,margin,gt_node_id,hit_top1,hit_top2,hit_hop1,low_conf,low_conf_rule,client_start_ms,server_recv_ms,server_resp_ms
SCENE_A_MS,BASE-SCENE_A_MS-1755175361558,2025-08-14T12:45:20.170452,0bb2349a-4754-4912-8fef-ffcce43cbae0,T01,base,trial,there are two people sitting at a table in a room,Sense_A_4o_0,0.309493,Sense_A_FT_0,0.286500,0.022993,,,,,true,margin<0.05,1755175517499,1755175517562,1755175520169
SCENE_B_STUDIO,WARMUP,2025-08-14T12:58:00.388920,1452aa12-25aa-4c6e-9955-6d3b9f783ea7,T01,base,warmup,First photo - preset output,,,,,,,,,,,,1755176280379,1755176280387,1755176280388
SCENE_B_STUDIO,BASE-SCENE_B_STUDIO-1755176280504,2025-08-14T12:58:57.954502,dad314d8-e0cd-4b05-9447-16ffab644276,T01,base,trial,there is a woman sitting at a desk with a computer,Sense_B_FT_0,0.260742,Sense_B_4o_0,0.251979,0.008763,,,,,true,score<0.3,1755176336287,1755176336301,1755176337954
SCENE_B_STUDIO,BASE-SCENE_B_STUDIO-1755176280504,2025-08-14T12:59:39.079420,0cf7a262-a9b8-4295-8649-78f4bafa51a4,T01,base,trial,there is a tennis court outside of a window with a tennis court in the background,Sense_B_4o_0,0.365230,Sense_B_FT_0,0.294905,0.070324,,,,,false,,1755176376137,1755176376165,1755176379079
SCENE_B_STUDIO,BASE-SCENE_B_STUDIO-1755176280504,2025-08-14T12:59:55.329944,175de178-e76c-45a8-a1d9-b0092d9eb99e,T01,base,trial,there is a person walking through a room with tables and chairs,Sense_B_FT_0,0.553992,Sense_B_4o_0,0.408770,0.145221,,,,,false,,1755176393517,1755176393531,1755176395329
SCENE_B_STUDIO,BASE-SCENE_B_STUDIO-1755176280504,2025-08-14T13:00:19.664737,9c79f6db-0763-4662-ab5c-3aac1ab6a338,T01,base,trial,there is a woman sitting on a couch in a room with a laptop,Sense_B_FT_0,0.431248,Sense_B_4o_0,0.275045,0.156203,,,,,false,,1755176417544,1755176417627,1755176419664
SCENE_A_MS,WARMUP,2025-08-14T13:09:39.129952,178ac7df-3d83-4c92-9233-e144a98a200f,T01,base,warmup,First photo - preset output,,,,,,,,,,,,1755176979131,1755176979128,1755176979129
SCENE_A_MS,BASE-SCENE_A_MS-1755176979255,2025-08-14T13:10:48.699763,be9e1183-e343-4aef-91ee-549aad1d2ea4,T01,base,trial,there is a work area with a work table and a chair,Sense_A_4o_0,0.594723,Sense_A_FT_0,0.381877,0.212846,,,,,false,,1755177046181,1755177046250,1755177048699
SCENE_A_MS,BASE-SCENE_A_MS-1755176979255,2025-08-14T13:11:06.503799,c128f053-225c-4dad-aa5d-b0eee66f7aa9,T01,base,trial,"there is a work area with a desk, chair, and a computer",Sense_A_4o_0,0.636301,Sense_A_FT_0,0.360138,0.276163,,,,,false,,1755177063720,1755177063758,1755177066503
SCENE_A_MS,BASE-SCENE_A_MS-1755176979255,2025-08-14T13:11:27.480708,16ce1e2c-e9d2-4de0-a05e-4d8c4d9c9ac3,T01,base,trial,"there is a work area with a desk, chair, and computer monitor",Sense_A_4o_0,0.625333,Sense_A_FT_0,0.356583,0.268750,,,,,false,,1755177085379,1755177085387,1755177087480
SCENE_A_MS,BASE-SCENE_A_MS-1755176979255,2025-08-14T13:12:06.355184,d8153f2a-190b-4c14-8dd4-00d2dc287f17,T01,base,trial,"there is a table with a printer, a printer, a roll of toilet paper, and other items",Sense_A_4o_0,0.557683,Sense_A_FT_0,0.312894,0.244789,,,,,false,,1755177124133,1755177124343,1755177126354
SCENE_A_MS,BASE-SCENE_A_MS-1755176979255,2025-08-14T13:14:26.265968,35c43c57-68c1-4c47-ba48-d1436d2bdd74,T01,base,trial,there is a room with a lot of desks and chairs,Sense_A_4o_0,0.668417,Sense_A_FT_0,0.365363,0.303054,,,,,false,,1755177264045,1755177264066,1755177266264
